,Date,Symbol,Value,Previous_Value,Net-Change,Percent Change,Cumulative Change,Log Returns,Cumulative Log Change
35,2018-02-08,AUD/JPY,85.6,86.15,-0.5500000000000114,-0.6384213580963568,-0.6200000000000045,-0.006404679826242302,-0.0072168861712916255
36,2018-02-09,AUD/JPY,84.74,85.6,-0.8599999999999994,-1.004672897196261,-1.480000000000004,-0.010097537949283211,-0.017314424120574837
37,2018-02-12,AUD/JPY,85.13,84.74,0.39000000000000057,0.4602312957281102,-1.0900000000000034,0.004591754697552621,-0.012722669423022217
38,2018-02-13,AUD/JPY,85.29,85.13,0.1600000000000108,0.1879478444731714,-0.9299999999999926,0.0018777144350526358,-0.010844954987969582
39,2018-02-14,AUD/JPY,84.36,85.29,-0.9300000000000068,-1.0903974674639545,-1.8599999999999994,-0.010963858720444345,-0.021808813708413928
40,2018-02-15,AUD/JPY,84.57,84.36,0.20999999999999375,0.24893314366997835,-1.6500000000000057,0.0024862381835569947,-0.019322575524856934
41,2018-02-16,AUD/JPY,84.18,84.57,-0.38999999999998636,-0.4611564384533361,-2.039999999999992,-0.004622230451706139,-0.023944805976563073
42,2018-02-19,AUD/JPY,84.26,84.18,0.0799999999999983,0.09503444998811866,-1.9599999999999937,0.000949893208445991,-0.022994912768117083
43,2018-02-20,AUD/JPY,84.64,84.26,0.37999999999999545,0.450985046285302,-1.5799999999999983,0.0044997115591188285,-0.018495201208998256
44,2018-02-21,AUD/JPY,84.64,84.64,0.0,0.0,-1.5799999999999983,0.0,-0.018495201208998256
45,2018-02-22,AUD/JPY,83.87,84.64,-0.769999999999996,-0.9097353497164414,-2.3499999999999943,-0.009138987113669094,-0.027634188322667348
46,2018-02-23,AUD/JPY,83.66,83.87,-0.21000000000000796,-0.2503875044712149,-2.5600000000000023,-0.002507014982267893,-0.030141203304935242
47,2018-02-26,AUD/JPY,83.84,83.66,0.18000000000000682,0.21515658618217406,-2.3799999999999955,0.002149254558679643,-0.027991948746255598
48,2018-02-27,AUD/JPY,83.92,83.84,0.0799999999999983,0.09541984732824223,-2.299999999999997,0.000953743515309635,-0.027038205230945963
49,2018-02-28,AUD/JPY,83.52,83.92,-0.4000000000000057,-0.47664442326025463,-2.700000000000003,-0.004777839953713197,-0.03181604518465916
50,2018-03-01,AUD/JPY,82.58,83.52,-0.9399999999999977,-1.1254789272030625,-3.6400000000000006,-0.011318603676384369,-0.043134648861043526
51,2018-03-02,AUD/JPY,82.28,82.58,-0.29999999999999716,-0.3632840881569353,-3.9399999999999977,-0.0036394556731877132,-0.04677410453423124
52,2018-03-05,AUD/JPY,81.78,82.28,-0.5,-0.6076810889645113,-4.439999999999998,-0.006095349848260126,-0.05286945438249137
53,2018-03-06,AUD/JPY,82.62,81.78,0.8400000000000034,1.0271460014673555,-3.5999999999999943,0.010219067032122322,-0.042650387350369044
54,2018-03-07,AUD/JPY,82.48,82.62,-0.14000000000000057,-0.16945049624788255,-3.739999999999995,-0.0016959422599139788,-0.04434632961028302
55,2018-03-08,AUD/JPY,83.04,82.48,0.5600000000000023,0.6789524733268698,-3.1799999999999926,0.006766579708874121,-0.0375797499014089
56,2018-03-09,AUD/JPY,83.09,83.04,0.04999999999999716,0.06021194605009291,-3.1299999999999955,0.000601938259311541,-0.03697781164209736
57,2018-03-12,AUD/JPY,83.73,83.09,0.6400000000000006,0.770249127452161,-2.489999999999995,0.007672978539450522,-0.029304833102646838
58,2018-03-13,AUD/JPY,84.04,83.73,0.3100000000000023,0.370237668697005,-2.1799999999999926,0.0036955397604593056,-0.025609293342187534
59,2018-03-14,AUD/JPY,83.84,84.04,-0.20000000000000284,-0.2379819133745869,-2.3799999999999955,-0.0023826554040676526,-0.027991948746255185
60,2018-03-15,AUD/JPY,83.46,83.84,-0.38000000000000966,-0.45324427480917184,-2.760000000000005,-0.004542745409325613,-0.0325346941555808
61,2018-03-16,AUD/JPY,82.49,83.46,-0.9699999999999989,-1.1622334052240582,-3.730000000000004,-0.011690401290766175,-0.04422509544634698
62,2018-03-19,AUD/JPY,81.3,82.49,-1.1899999999999977,-1.4425991029215637,-4.920000000000002,-0.01453105731887536,-0.058756152765222336
63,2018-03-20,AUD/JPY,81.9,81.3,0.6000000000000085,0.7380073800738112,-4.319999999999993,0.0073529743052589535,-0.05140317845996338
64,2018-03-21,AUD/JPY,81.96,81.9,0.05999999999998806,0.07326007326005868,-4.260000000000005,0.0007323325116750411,-0.05067084594828834
65,2018-03-22,AUD/JPY,81.91,81.96,-0.04999999999999716,-0.061005368472422106,-4.310000000000002,-0.0006102398431882987,-0.05128108579147664
66,2018-03-23,AUD/JPY,80.82,81.91,-1.0900000000000034,-1.3307288487364222,-5.400000000000006,-0.013396623877183052,-0.06467770966865968
67,2018-03-26,AUD/JPY,81.0,80.82,0.18000000000000682,0.22271714922049843,-5.219999999999999,0.00222469502211133,-0.06245301464654835
68,2018-03-27,AUD/JPY,81.74,81.0,0.7399999999999949,0.9135802469135739,-4.480000000000004,0.009094323463692383,-0.053358691182855966
69,2018-03-28,AUD/JPY,81.23,81.74,-0.5099999999999909,-0.623929532664535,-4.989999999999995,-0.006258841073268657,-0.05961753225612462
70,2018-03-29,AUD/JPY,81.61,81.23,0.37999999999999545,0.46780746029791387,-4.609999999999999,0.0046671664182889065,-0.05495036583783572
71,2018-04-03,AUD/JPY,81.46,81.61,-0.15000000000000568,-0.1838010047788331,-4.760000000000005,-0.001839701260885103,-0.05679006709872082
72,2018-04-04,AUD/JPY,82.04,81.46,0.5800000000000125,0.7120058924625737,-4.179999999999993,0.007094830983913396,-0.049695236114807424
73,2018-04-05,AUD/JPY,82.21,82.04,0.1699999999999875,0.2072159921989121,-4.010000000000005,0.002070015959861968,-0.047625220154945455
74,2018-04-06,AUD/JPY,82.37,82.21,0.1600000000000108,0.19462352511861186,-3.8499999999999943,0.0019443437891154321,-0.04568087636583002
75,2018-04-09,AUD/JPY,82.28,82.37,-0.09000000000000341,-0.1092630812188945,-3.9399999999999977,-0.0010932281684009608,-0.04677410453423098
76,2018-04-10,AUD/JPY,82.86,82.28,0.5799999999999983,0.7049100631988312,-3.3599999999999994,0.00702437186449938,-0.0397497326697316
77,2018-04-11,AUD/JPY,82.97,82.86,0.10999999999999943,0.13275404296403504,-3.25,0.001326660026938268,-0.038423072642793335
78,2018-04-12,AUD/JPY,82.88,82.97,-0.09000000000000341,-0.10847294202724288,-3.3400000000000034,-0.0010853181650209889,-0.03950839080781433
79,2018-04-13,AUD/JPY,83.61,82.88,0.730000000000004,0.8807915057915107,-2.6099999999999994,0.008769351650793551,-0.030739039157020774
80,2018-04-16,AUD/JPY,83.29,83.61,-0.3199999999999932,-0.38272933859585356,-2.9299999999999926,-0.003834636214717345,-0.03457367537173812
81,2018-04-17,AUD/JPY,83.16,83.29,-0.13000000000000966,-0.15608116220435786,-3.0600000000000023,-0.001562030957437064,-0.036135706329175184
82,2018-04-18,AUD/JPY,83.41,83.16,0.25,0.30062530062530063,-2.8100000000000023,0.0030017432637081632,-0.03313396306546702
83,2018-04-19,AUD/JPY,83.83,83.41,0.4200000000000017,0.5035367461935041,-2.3900000000000006,0.005022732396245548,-0.028111230669221474
84,2018-04-20,AUD/JPY,83.03,83.83,-0.7999999999999972,-0.9543122986997461,-3.1899999999999977,-0.00958895037582671,-0.03770018104504819
85,2018-04-23,AUD/JPY,82.71,83.03,-0.3200000000000074,-0.385402866433828,-3.510000000000005,-0.0038614745701242483,-0.04156165561517244
86,2018-04-24,AUD/JPY,82.78,82.71,0.07000000000000739,0.08463305525330359,-3.4399999999999977,0.0008459726167713605,-0.04071568299840107
87,2018-04-26,AUD/JPY,82.8,82.78,0.01999999999999602,0.024160425223479127,-3.4200000000000017,0.0002415750706276738,-0.0404741079277734
88,2018-04-27,AUD/JPY,82.43,82.8,-0.36999999999999034,-0.44685990338163084,-3.789999999999992,-0.004478613066077789,-0.04495272099385119
89,2018-04-30,AUD/JPY,82.63,82.43,0.19999999999998863,0.24263011039668642,-3.5900000000000034,0.0024233623879567497,-0.04252935860589444
90,2018-05-01,AUD/JPY,82.48,82.63,-0.14999999999999147,-0.18153213118720982,-3.739999999999995,-0.0018169710043884246,-0.04434632961028287
91,2018-05-02,AUD/JPY,82.38,82.48,-0.10000000000000853,-0.12124151309409374,-3.8400000000000034,-0.0012131507007699163,-0.04555948031105279
92,2018-05-03,AUD/JPY,82.48,82.38,0.10000000000000853,0.12138868657442163,-3.739999999999995,0.0012131507007699974,-0.044346329610282786
93,2018-05-04,AUD/JPY,82.24,82.48,-0.2400000000000091,-0.29097963142581124,-3.980000000000004,-0.002914038001849646,-0.04726036761213243
94,2018-05-07,AUD/JPY,82.1,82.24,-0.14000000000000057,-0.17023346303502015,-4.1200000000000045,-0.0017037852484724338,-0.04896415286060487
95,2018-05-08,AUD/JPY,81.93,82.1,-0.1699999999999875,-0.20706455542020405,-4.289999999999992,-0.002072792304659013,-0.05103694516526388
96,2018-05-09,AUD/JPY,81.42,81.93,-0.5100000000000051,-0.6224826071036312,-4.799999999999997,-0.006244281078890668,-0.05728122624415455
97,2018-05-10,AUD/JPY,81.91,81.42,0.4899999999999949,0.6018177352001902,-4.310000000000002,0.0060001404526777635,-0.051281085791476784
98,2018-05-11,AUD/JPY,82.5,81.91,0.5900000000000034,0.7203027713343956,-3.719999999999999,0.007177209813124627,-0.04410387597835216
99,2018-05-14,AUD/JPY,82.56,82.5,0.060000000000002274,0.07272727272727549,-3.6599999999999966,0.000727008392617263,-0.04337686758573489
100,2018-05-15,AUD/JPY,82.5,82.56,-0.060000000000002274,-0.07267441860465391,-3.719999999999999,-0.0007270083926173595,-0.04410387597835225
101,2018-05-16,AUD/JPY,82.51,82.5,0.010000000000005116,0.012121212121218323,-3.7099999999999937,0.00012120477561660171,-0.04398267120273565
102,2018-05-17,AUD/JPY,83.14,82.51,0.6299999999999955,0.7635438128711616,-3.0799999999999983,0.007606435708239469,-0.03637623549449618
103,2018-05-18,AUD/JPY,83.33,83.14,0.18999999999999773,0.22853019004089214,-2.8900000000000006,0.0022826945696240632,-0.034093540924872115
104,2018-05-21,AUD/JPY,83.69,83.33,0.35999999999999943,0.4320172806912269,-2.530000000000001,0.004310867650667217,-0.029782673274204897
105,2018-05-22,AUD/JPY,84.16,83.69,0.46999999999999886,0.5615963675468979,-2.0600000000000023,0.005600252944616957,-0.02418242032958794
106,2018-05-23,AUD/JPY,83.34,84.16,-0.8199999999999932,-0.9743346007604481,-2.8799999999999955,-0.009791122995092282,-0.03397354332468022
107,2018-05-24,AUD/JPY,82.78,83.34,-0.5600000000000023,-0.6719462443004587,-3.4399999999999977,-0.00674213967372108,-0.0407156829984013
108,2018-05-25,AUD/JPY,82.89,82.78,0.10999999999999943,0.13288233872916094,-3.3299999999999983,0.0013279412828485753,-0.039387741715552725
109,2018-05-28,AUD/JPY,83.02,82.89,0.12999999999999545,0.15683435878875068,-3.200000000000003,0.0015671150214577661,-0.03782062669409496
110,2018-05-29,AUD/JPY,82.2,83.02,-0.8199999999999932,-0.9877138039026659,-4.019999999999996,-0.009926240562758403,-0.04774686725685336
111,2018-05-30,AUD/JPY,81.53,82.2,-0.6700000000000017,-0.8150851581508536,-4.689999999999998,-0.00818425138731481,-0.05593111864416817
112,2018-05-31,AUD/JPY,82.29,81.53,0.7600000000000051,0.9321722065497426,-3.9299999999999926,0.00927854294280229,-0.046652575701365884
113,2018-06-01,AUD/JPY,82.26,82.29,-0.030000000000001137,-0.03645643456070134,-3.9599999999999937,-0.0003646308153435868,-0.04701720651670947
114,2018-06-04,AUD/JPY,83.48,82.26,1.2199999999999989,1.4831023583758798,-2.739999999999995,0.014722119406721926,-0.03229508710998755
115,2018-06-05,AUD/JPY,83.86,83.48,0.37999999999999545,0.45519885002395233,-2.3599999999999994,0.004541659533616652,-0.027753427576370896
116,2018-06-06,AUD/JPY,84.22,83.86,0.35999999999999943,0.4292869067493435,-2.0,0.004283680991165166,-0.02346974658520573
117,2018-06-07,AUD/JPY,84.2,84.22,-0.01999999999999602,-0.0237473284255474,-2.019999999999996,-0.00023750148550064686,-0.02370724807070638
118,2018-06-08,AUD/JPY,83.44,84.2,-0.7600000000000051,-0.9026128266033315,-2.780000000000001,-0.009067110555764112,-0.03277435862647049
119,2018-06-12,AUD/JPY,83.99,83.44,0.5499999999999972,0.6591562799616457,-2.230000000000004,0.006569933445018734,-0.026204425181451756
120,2018-06-13,AUD/JPY,83.74,83.99,-0.25,-0.2976544826765091,-2.480000000000004,-0.0029809835465385167,-0.02918540872799027
121,2018-06-14,AUD/JPY,83.13,83.74,-0.6099999999999994,-0.7284451874850723,-3.0900000000000034,-0.00731111304800052,-0.03649652177599079
122,2018-06-15,AUD/JPY,82.78,83.13,-0.3499999999999943,-0.42102730662816595,-3.4399999999999977,-0.0042191612224102976,-0.04071568299840109
123,2018-06-18,AUD/JPY,82.32,82.78,-0.46000000000000796,-0.55568978014014,-3.9000000000000057,-0.005572394794792325,-0.04628807779319341
124,2018-06-19,AUD/JPY,80.88,82.32,-1.4399999999999977,-1.7492711370262364,-5.340000000000003,-0.017647516813578113,-0.06393559460677152
125,2018-06-20,AUD/JPY,81.58,80.88,0.7000000000000028,0.8654797230464922,-4.640000000000001,0.008617559177196449,-0.05531803542957507
126,2018-06-21,AUD/JPY,81.47,81.58,-0.10999999999999943,-0.1348369698455497,-4.75,-0.0013492795668620153,-0.05666731499643709
127,2018-06-22,AUD/JPY,81.36,81.47,-0.10999999999999943,-0.135019025408125,-4.859999999999999,-0.0013511025822458675,-0.05801841757868296
128,2018-06-25,AUD/JPY,81.19,81.36,-0.1700000000000017,-0.20894788593903849,-5.030000000000001,-0.0020916648659494276,-0.06011008244463239
129,2018-06-26,AUD/JPY,81.28,81.19,0.09000000000000341,0.1108510900357229,-4.939999999999998,0.0011078969558167247,-0.05900218548881567
130,2018-06-27,AUD/JPY,81.08,81.28,-0.20000000000000284,-0.24606299212598776,-5.140000000000001,-0.0024636622463724703,-0.06146584773518814
131,2018-06-28,AUD/JPY,81.07,81.08,-0.010000000000005116,-0.01233349777997671,-5.150000000000006,-0.00012334258418361904,-0.06158919031937175
132,2018-06-29,AUD/JPY,81.82,81.07,0.75,0.9251264339459726,-4.400000000000006,0.009208733501636776,-0.052380456817734976
133,2018-07-02,AUD/JPY,81.71,81.82,-0.10999999999999943,-0.1344414568565136,-4.510000000000005,-0.0013453191046364484,-0.053725775922371426
134,2018-07-03,AUD/JPY,81.67,81.71,-0.03999999999999204,-0.048953616448405395,-4.549999999999997,-0.0004896560264317095,-0.054215431948803135
135,2018-07-04,AUD/JPY,81.71,81.67,0.03999999999999204,0.04897759275130653,-4.510000000000005,0.0004896560264316844,-0.05372577592237145
136,2018-07-05,AUD/JPY,81.65,81.71,-0.05999999999998806,-0.07343042467260809,-4.569999999999993,-0.0007345739801417724,-0.05446034990251323
137,2018-07-06,AUD/JPY,82.04,81.65,0.39000000000000057,0.47764849969381573,-4.179999999999993,0.00476511378770565,-0.04969523611480758
138,2018-07-09,AUD/JPY,82.47,82.04,0.4299999999999926,0.5241345685031601,-3.75,0.005227657641084023,-0.044467578473723554
139,2018-07-10,AUD/JPY,82.89,82.47,0.4200000000000017,0.5092761004001476,-3.3299999999999983,0.005079836758170836,-0.03938774171555272
140,2018-07-11,AUD/JPY,82.28,82.89,-0.6099999999999994,-0.7359150681626245,-3.9399999999999977,-0.007386362818678481,-0.0467741045342312
141,2018-07-12,AUD/JPY,82.92,82.28,0.6400000000000006,0.7778317938745752,-3.299999999999997,0.007748222782822511,-0.039025881751408684
142,2018-07-13,AUD/JPY,83.48,82.92,0.5600000000000023,0.6753497346840356,-2.739999999999995,0.006730794641421219,-0.032295087109987464
143,2018-07-16,AUD/JPY,83.59,83.48,0.10999999999999943,0.1317680881648292,-2.6299999999999955,0.0013168135020646436,-0.03097827360792282
144,2018-07-17,AUD/JPY,83.49,83.59,-0.10000000000000853,-0.1196315348726026,-2.730000000000004,-0.0011970315051557249,-0.03217530511307855
145,2018-07-18,AUD/JPY,83.19,83.49,-0.29999999999999716,-0.35932446999640333,-3.030000000000001,-0.0035997159101127003,-0.035775021023191245
146,2018-07-19,AUD/JPY,83.59,83.19,0.4000000000000057,0.48082702247867015,-2.6299999999999955,0.004796747415268454,-0.03097827360792279
147,2018-07-20,AUD/JPY,82.84,83.59,-0.75,-0.8972365115444432,-3.3799999999999955,-0.009012859183681327,-0.039991132791604114
148,2018-07-23,AUD/JPY,82.39,82.84,-0.45000000000000284,-0.5432158377595399,-3.8299999999999983,-0.0054469661998847565,-0.04543809899148887
149,2018-07-24,AUD/JPY,82.09,82.39,-0.29999999999999716,-0.3641218594489588,-4.1299999999999955,-0.003647863967323864,-0.049085962958812734
150,2018-07-25,AUD/JPY,82.31,82.09,0.21999999999999886,0.2679985381897903,-3.9099999999999966,0.002676400624377853,-0.046409562334434884
151,2018-07-26,AUD/JPY,82.31,82.31,0.0,0.0,-3.9099999999999966,0.0,-0.046409562334434884
152,2018-07-27,AUD/JPY,82.08,82.31,-0.23000000000000398,-0.27943141781072045,-4.140000000000001,-0.0027982255620932106,-0.0492077878965281
153,2018-07-30,AUD/JPY,82.14,82.08,0.060000000000002274,0.07309941520468113,-4.079999999999998,0.0007307271059531384,-0.04847706079057496
154,2018-07-31,AUD/JPY,82.68,82.14,0.5400000000000063,0.657414170927692,-3.539999999999992,0.006552626285154984,-0.04192443450541998
155,2018-08-01,AUD/JPY,82.95,82.68,0.269999999999996,0.3265602322206047,-3.269999999999996,0.003260281822885852,-0.03866415268253413
156,2018-08-02,AUD/JPY,82.39,82.95,-0.5600000000000023,-0.6751054852320703,-3.8299999999999983,-0.006773946308954917,-0.04543809899148904
157,2018-08-03,AUD/JPY,82.31,82.39,-0.0799999999999983,-0.0970991625197212,-3.9099999999999966,-0.0009714633429460155,-0.04640956233443506
158,2018-08-07,AUD/JPY,82.41,82.31,0.09999999999999432,0.12149192078726075,-3.8100000000000023,0.001214181790739434,-0.045195380543695624
159,2018-08-08,AUD/JPY,82.64,82.41,0.23000000000000398,0.2790923431622424,-3.5799999999999983,0.002787036036090894,-0.04240834450760473
160,2018-08-09,AUD/JPY,82.56,82.64,-0.0799999999999983,-0.09680542110357973,-3.6599999999999966,-0.000968523078130537,-0.043376867585735265
161,2018-08-10,AUD/JPY,81.37,82.56,-1.1899999999999977,-1.4413759689922452,-4.849999999999994,-0.014518647024686648,-0.057895514610421916
162,2018-08-13,AUD/JPY,80.25,81.37,-1.1200000000000045,-1.3764286592110169,-5.969999999999999,-0.013859892698440691,-0.07175540730886261
163,2018-08-14,AUD/JPY,80.61,80.25,0.35999999999999943,0.4485981308411208,-5.609999999999999,0.004475949285384357,-0.06727945802347825
164,2018-08-15,AUD/JPY,80.27,80.61,-0.3400000000000034,-0.4217838977794361,-5.950000000000003,-0.004226759152024119,-0.07150621717550237
165,2018-08-16,AUD/JPY,80.65,80.27,0.38000000000000966,0.4734022673477136,-5.569999999999993,0.004722852427732478,-0.0667833647477699
166,2018-08-17,AUD/JPY,80.62,80.65,-0.030000000000001137,-0.03719776813391337,-5.599999999999994,-0.00037204688219814224,-0.06715541162996805
167,2018-08-20,AUD/JPY,80.8,80.62,0.1799999999999926,0.2232696601339526,-5.420000000000002,0.002230207838029864,-0.06492520379193818
168,2018-08-21,AUD/JPY,81.01,80.8,0.21000000000000796,0.25990099009901974,-5.209999999999994,0.002595638315350349,-0.062329565476587835
169,2018-08-22,AUD/JPY,81.22,81.01,0.20999999999999375,0.25922725589432627,-5.0,0.002588918415751858,-0.059740647060835976
170,2018-08-23,AUD/JPY,80.87,81.22,-0.3499999999999943,-0.43092834277270914,-5.349999999999994,-0.004318595150420868,-0.06405924221125685
171,2018-08-24,AUD/JPY,81.08,80.87,0.20999999999999375,0.2596760232471791,-5.140000000000001,0.0025933944760683277,-0.06146584773518852
172,2018-08-27,AUD/JPY,81.31,81.08,0.23000000000000398,0.2836704489393241,-4.909999999999997,0.0028326886359470137,-0.05863315909924151
173,2018-08-28,AUD/JPY,81.52,81.31,0.20999999999999375,0.25827081539785235,-4.700000000000003,0.0025793786947230384,-0.05605378040451847
174,2018-08-29,AUD/JPY,81.25,81.52,-0.269999999999996,-0.33120706575073117,-4.969999999999999,-0.003317567704622418,-0.05937134810914089
175,2018-08-30,AUD/JPY,81.29,81.25,0.04000000000000625,0.049230769230776926,-4.929999999999993,0.0004921865486341833,-0.0588791615605067
176,2018-08-31,AUD/JPY,80.58,81.29,-0.710000000000008,-0.8734161643498682,-5.640000000000001,-0.008772527995279876,-0.06765168955578658
177,2018-09-03,AUD/JPY,79.86,80.58,-0.7199999999999989,-0.8935219657483232,-6.359999999999999,-0.008975378128125924,-0.0766270676839125
178,2018-09-04,AUD/JPY,80.38,79.86,0.519999999999996,0.6511394941146957,-5.840000000000003,0.0064902873859798305,-0.07013678029793267
179,2018-09-05,AUD/JPY,80.12,80.38,-0.2599999999999909,-0.32346354814629374,-6.099999999999994,-0.003239878223437462,-0.07337665852137014
180,2018-09-06,AUD/JPY,79.84,80.12,-0.28000000000000114,-0.3494757863205206,-6.3799999999999955,-0.003500878794408966,-0.07687753731577911
181,2018-09-07,AUD/JPY,79.09,79.84,-0.75,-0.93937875751503,-7.1299999999999955,-0.009438187471882672,-0.08631572478766178
182,2018-09-10,AUD/JPY,78.96,79.09,-0.13000000000000966,-0.16436970539892484,-7.260000000000005,-0.0016450494060998519,-0.08796077419376164
183,2018-09-11,AUD/JPY,79.41,78.96,0.45000000000000284,0.5699088145896692,-6.810000000000002,0.005682909781893494,-0.08227786441186814
184,2018-09-12,AUD/JPY,79.21,79.41,-0.20000000000000284,-0.2518574486840484,-7.010000000000005,-0.0025217514309312876,-0.08479961584279944
185,2018-09-13,AUD/JPY,80.02,79.21,0.8100000000000023,1.022598156798387,-6.200000000000003,0.010174049952900752,-0.07462556588989869
186,2018-09-14,AUD/JPY,80.55,80.02,0.5300000000000011,0.6623344163959025,-5.670000000000002,0.00660150619389434,-0.06802405969600435
187,2018-09-17,AUD/JPY,80.19,80.55,-0.35999999999999943,-0.44692737430167523,-6.030000000000001,-0.004479290804046057,-0.07250335050005041
188,2018-09-18,AUD/JPY,80.69,80.19,0.5,0.6235191420376606,-5.530000000000001,0.006215833041477917,-0.06628751745857249
189,2018-09-19,AUD/JPY,81.38,80.69,0.6899999999999977,0.8551245507497803,-4.840000000000003,0.008514890713128729,-0.05777262674544376
190,2018-09-20,AUD/JPY,81.42,81.38,0.04000000000000625,0.049152125829449805,-4.799999999999997,0.000491400501289006,-0.057281226244154756
191,2018-09-21,AUD/JPY,82.27,81.42,0.8499999999999943,1.043969540653395,-3.950000000000003,0.010385578106006143,-0.046895648138148616
