,Date,Symbol,Value,Previous_Value,Net-Change,Percent Change,Cumulative Change,Log Returns,Cumulative Log Change
0,2017-12-15,AUD/JPY,86.22,,,,,,
1,2017-12-18,AUD/JPY,86.29,86.22,0.07000000000000739,0.08118765947576825,0.07000000000000739,0.0008115472012277715,0.0008115472012277715
2,2017-12-19,AUD/JPY,86.38,86.29,0.0899999999999892,0.10429945532505411,0.1599999999999966,0.0010424510123388854,0.001853998213566657
3,2017-12-20,AUD/JPY,86.52,86.38,0.14000000000000057,0.16207455429497636,0.29999999999999716,0.001619433552302976,0.003473431765869633
4,2017-12-21,AUD/JPY,86.92,86.52,0.4000000000000057,0.4623208506703718,0.7000000000000028,0.0046125543033709426,0.008085986069240575
5,2017-12-22,AUD/JPY,87.41,86.92,0.4899999999999949,0.5637367694431602,1.1899999999999977,0.0056215372041676995,0.013707523273408274
6,2017-12-27,AUD/JPY,87.68,87.41,0.27000000000001023,0.30888914311864807,1.460000000000008,0.0030841306073088764,0.016791653880717152
7,2017-12-28,AUD/JPY,88.04,87.68,0.35999999999999943,0.4105839416058387,1.8200000000000074,0.004097433458555585,0.020889087339272736
8,2017-12-29,AUD/JPY,87.94,88.04,-0.10000000000000853,-0.11358473421173162,1.7199999999999989,-0.0011364929055969956,0.01975259443367574
9,2018-01-02,AUD/JPY,88.33,87.94,0.39000000000000057,0.4434841937684792,2.1099999999999994,0.004425037004376734,0.024177631438052474
10,2018-01-03,AUD/JPY,87.8,88.33,-0.5300000000000011,-0.600022642363864,1.5799999999999983,-0.006018300115969867,0.018159331322082608
11,2018-01-04,AUD/JPY,88.27,87.8,0.46999999999999886,0.5353075170842811,2.049999999999997,0.00533879839107052,0.023498129713153126
12,2018-01-05,AUD/JPY,88.69,88.27,0.4200000000000017,0.47581284694686954,2.469999999999999,0.004746844356219477,0.028244974069372604
13,2018-01-08,AUD/JPY,88.78,88.69,0.09000000000000341,0.10147705491036578,2.5600000000000023,0.0010142560175282807,0.029259230086900886
14,2018-01-09,AUD/JPY,88.45,88.78,-0.3299999999999983,-0.37170533904032244,2.230000000000004,-0.0037239788000948374,0.02553525128680605
15,2018-01-10,AUD/JPY,87.9,88.45,-0.5499999999999972,-0.6218202374222692,1.6800000000000068,-0.006237615914662903,0.019297635372143147
16,2018-01-11,AUD/JPY,87.98,87.9,0.0799999999999983,0.0910125142207034,1.7600000000000051,0.00090971122944234,0.020207346601585487
17,2018-01-12,AUD/JPY,87.71,87.98,-0.27000000000001023,-0.30688792907480134,1.4899999999999949,-0.003073597957283625,0.017133748644301863
18,2018-01-15,AUD/JPY,87.95,87.71,0.2400000000000091,0.2736290046745059,1.730000000000004,0.0027325532202771203,0.019866301864578984
19,2018-01-16,AUD/JPY,88.35,87.95,0.3999999999999915,0.4548038658328498,2.1299999999999955,0.004537727582138167,0.02440402944671715
20,2018-01-17,AUD/JPY,88.18,88.35,-0.1699999999999875,-0.19241652518391342,1.960000000000008,-0.0019260188359136972,0.022478010610803453
21,2018-01-18,AUD/JPY,88.69,88.18,0.5099999999999909,0.5783624404626796,2.469999999999999,0.005766963458569285,0.028244974069372736
22,2018-01-19,AUD/JPY,88.9,88.69,0.21000000000000796,0.2367797947908535,2.680000000000007,0.002364999131498105,0.03060997320087084
23,2018-01-22,AUD/JPY,88.53,88.9,-0.37000000000000455,-0.41619797525309843,2.3100000000000023,-0.004170664896901191,0.02643930830396965
24,2018-01-23,AUD/JPY,88.49,88.53,-0.04000000000000625,-0.045182424037056655,2.269999999999996,-0.0004519263436990259,0.025987381960270624
25,2018-01-24,AUD/JPY,88.09,88.49,-0.3999999999999915,-0.45202847779409144,1.8700000000000045,-0.004530532157554354,0.02145684980271627
26,2018-01-25,AUD/JPY,88.24,88.09,0.14999999999999147,0.17028039505050682,2.019999999999996,0.0017013558235427024,0.02315820562625897
27,2018-01-29,AUD/JPY,88.04,88.24,-0.19999999999998863,-0.22665457842247125,1.8200000000000074,-0.002269118286985965,0.020889087339273006
28,2018-01-30,AUD/JPY,87.77,88.04,-0.27000000000001023,-0.30667878237166085,1.5499999999999972,-0.0030715000542348003,0.017817587285038204
29,2018-01-31,AUD/JPY,87.87,87.77,0.10000000000000853,0.11393414606358497,1.6500000000000057,0.0011386929037255809,0.018956280188763785
30,2018-02-01,AUD/JPY,87.91,87.87,0.03999999999999204,0.04552179355865715,1.6899999999999977,0.00045511435533532053,0.019411394544099105
31,2018-02-02,AUD/JPY,87.71,87.91,-0.20000000000000284,-0.2275054032533305,1.4899999999999949,-0.002277645899796965,0.01713374864430214
32,2018-02-05,AUD/JPY,87.22,87.71,-0.4899999999999949,-0.5586592178770892,1.0,-0.005602255548669787,0.011531493095632353
33,2018-02-06,AUD/JPY,85.23,87.22,-1.9899999999999949,-2.281586792020173,-0.9899999999999949,-0.02308017788041408,-0.011548684784781726
34,2018-02-07,AUD/JPY,86.15,85.23,0.9200000000000017,1.0794321248386738,-0.06999999999999318,0.010736478439732402,-0.0008122063450493235
